Yield,leafs p/a_scaled
2145.0,0.12072446224185548
2678.0,0.7745172428026734
1979.0,-0.08283535170049268
2086.0,0.049788188789796184
1650.0,-0.48617230985536125
1727.0,-0.39091353289355674
5289.0,3.97786106757496
1531.0,-0.6328535285876252
1940.0,-0.13049385486848047
1732.0,-0.3855358262296955
1313.0,-0.9000709859013277
2547.0,0.6136372343985298
2887.0,1.0314957026352232
1957.0,-0.10916372370989783
1687.0,-0.440419425774938
1701.0,-0.42380498533199024
428.0,-1.9851950145402029
1827.0,-0.269542241002845
1972.0,-0.09153013428756764
1854.0,-0.23568745890045378
1657.0,-0.47794983095716626
2183.0,0.1674568944013865
953.0,-1.3409313714784574
3956.0,2.342372198229036
1421.0,-0.7676306068872274
851.0,-1.4662414457876696
1290.0,-0.928071447096117
2023.0,-0.028599266215984485
2299.0,0.30943802536180737
3112.0,1.3074917382511526
1843.0,-0.2500919832712736
1294.0,-0.9229273571184248
928.0,-1.3719583641477484
997.0,-1.2869161161099418
1598.0,-0.5503903512011734
1870.0,-0.21663973477245865
2068.0,0.02666693704064077
1846.0,-0.24582832837153668
1523.0,-0.6424644293140641
5185.0,3.8501879754071884
1147.0,-1.1028897916653235
1868.0,-0.2189682510359872
1026.0,-1.2517416630192346
1787.0,-0.3182105564197367
1956.0,-0.11092878514688528
2733.0,0.8423510181872715
2438.0,0.48052725637465804
2264.0,0.266738086612004
1503.0,-0.6665237480057985
1523.0,-0.6422186205112768
2461.0,0.5080987333041568
2401.0,0.4356197009812212
1178.0,-1.065948750932242
2342.0,0.3622436873290713
2280.0,0.2860566920406704
1683.0,-0.44629302711754265
3598.0,1.9031733198486598
1880.0,-0.20434386945900723
1384.0,-0.8123940789887771
1794.0,-0.3100786198322746
2409.0,0.4451093512280689
1421.0,-0.7667348721611184
3391.0,1.6498020726830656
2351.0,0.3731296310080968
2380.0,0.4088991496160651
1538.0,-0.6237556978713678
1172.0,-1.0724872650863866
2482.0,0.5346949999569499
2500.0,0.5569064913688824
2234.0,0.21769540676343072
1377.0,-0.8216281222128203
1862.0,-0.2259945076922276
1582.0,-0.5698008891220826
5578.0,4.3324033942753575
1806.0,-0.2955420637688021
2240.0,0.2379281381780137
1558.0,-0.5995475888766808
1387.0,-0.8084824122359595
2194.0,0.18151256948983982
2376.0,0.40409659185138297
1584.0,-0.567056072355428
2322.0,0.3376981718006689
1647.0,-0.49013760807690826
1974.0,-0.08926680246497881
1737.0,-0.3802306823244168
2017.0,-0.035580836350350704
1998.0,-0.05971915709301459
1409.0,-0.7819058637240859
354.0,-2.076889072243984
1807.0,-0.29432352249462085
1723.0,-0.3963320264674715
1674.0,-0.4566473296408774
2110.0,0.07746680469320605
1921.0,-0.1535392494924744
3150.0,1.353896070283141
2279.0,0.28590018413000146
2064.0,0.02161263229635905
1373.0,-0.8266015911824849
2287.0,0.29526665626350884
1445.0,-0.7373402361611258
1366.0,-0.8353139146246085
1691.0,-0.4365116120524024
1896.0,-0.1842462137577572
1361.0,-0.8408429487508138
1166.0,-1.0801085670168098
4858.0,3.450134148870705
1753.0,-0.35990028317096756
1271.0,-0.9513304196870948
1460.0,-0.7197598922622502
2064.0,0.021029103573220433
1771.0,-0.3378083436492277
2795.0,0.918855457483252
2101.0,0.0675360787672338
2878.0,1.0206287685848847
1711.0,-0.4111248265089284
1780.0,-0.32740637060540567
2487.0,0.5406209585745484
2075.0,0.03480348898870808
1427.0,-0.7593822938763202
2012.0,-0.042287189730954716
1855.0,-0.23454078814753954
1269.0,-0.9534764751288418
3742.0,2.080315433577395
1274.0,-0.9478143810879086
2124.0,0.09467597327640358
1266.0,-0.9577012401841095
2069.0,0.027347672285566626
1851.0,-0.23998299504125256
3209.0,1.4266379961711224
2480.0,0.5321511535755858
2424.0,0.4633752964898073
1573.0,-0.5805478734424956
2742.0,0.8534148724007322
2205.0,0.19423456795063673
2092.0,0.05629322903054863
1968.0,-0.09678800558848935
1963.0,-0.10181986155751994
2228.0,0.2224433403497154
1125.0,-1.1309024980247968
5050.0,3.6856066915008885
2076.0,0.036638700948203866
2168.0,0.149536738629801
1944.0,-0.12518871096320203
2369.0,0.39554232676616835
1381.0,-0.8159297349707058
3509.0,1.7950507673710288
1835.0,-0.25913861477433003
2986.0,1.1530508868225098
2348.0,0.3704273904292617
2762.0,0.877469721841507
2020.0,-0.03186897216130561
2210.0,0.201077639211435
1449.0,-0.7326527715403269
2575.0,0.6479367921114503
1682.0,-0.44747217194451405
1740.0,-0.37574590071756064
4732.0,3.295962867762451
1583.0,-0.5682387741803692
2062.0,0.01914904971877568
1640.0,-0.4983547907685468
1790.0,-0.31471387276338986
2086.0,0.04841365768187392
3398.0,1.6578757993710636
2678.0,0.774833268391524
2573.0,0.646006320784785
1482.0,-0.6922871920884932
2880.0,1.0231753477817624
1837.0,-0.25726704100924813
1904.0,-0.17488427748016175
1709.0,-0.41362298882040843
1806.0,-0.2955286163693417
2126.0,0.09795789673649008
1767.0,-0.3430926593552833
4845.0,3.4822244880745985
1958.0,-0.1088487138139409
1360.0,-0.8424388551732401
1911.0,-0.16554166726399175
2296.0,0.3067142928294954
1711.0,-0.4121179834572087
1764.0,-0.34668160443642543
2452.0,0.49779055318782983
2712.0,0.8171089122290346
1957.0,-0.1095496040957066
1633.0,-0.5077661215626279
1525.0,-0.6392797304651507
2037.0,-0.011974682516510685
339.0,-2.0946042395399798
1875.0,-0.2097797220870409
2091.0,0.054742742736043515
1569.0,-0.5852708661255072
1420.0,-0.7684119436862689
1588.0,-0.5622422684363704
606.0,-1.7663406218312634
2067.0,0.025630003121045103
1747.0,-0.3670618853964201
2407.0,0.44187849732337375
2075.0,0.03558238033900672
2531.0,0.5946617780585542
1523.0,-0.6415665567962464
1923.0,-0.15100414137306042
